DATASET,MODEL_TYPE,ZETA,NUM_ZETA_MODELS,IMPLIMENTATION,"FLIP,PROP",ACCURACY
DIABETICS,SGD,2,1,HiFlow3,"0,6",0.6343749999999999
DIABETICS,SGD,2,2,HiFlow3,"1,2",0.6489583333333333
DIABETICS,SGD,2,0,HiFlow3,"2,2",0.6515625
DIABETICS,SGD,2,0,HiFlow3,"3,6",0.6833333333333333
DIABETICS,SGD,2,1,HiFlow3,"1,6",0.6182291666666666
DIABETICS,SGD,2,0,HiFlow3,"1,4",0.6859374999999999
DIABETICS,SGD,2,0,HiFlow3,"2,6",0.6489583333333334
DIABETICS,SGD,2,1,HiFlow3,"2,4",0.6708333333333334
DIABETICS,SGD,2,0,HiFlow3,"3,2",0.5619791666666666
DIABETICS,SGD,2,0,HiFlow3,"0,2",0.6380208333333333
DIABETICS,SGD,2,3,HiFlow3,"0,4",0.6604166666666667
DIABETICS,SGD,2,0,HiFlow3,"3,4",0.6838541666666667
DIABETICS,SGD,2,0,Flower,"0,6",0.5619791666666667
DIABETICS,SGD,2,0,Flower,"1,2",0.4869791666666667
DIABETICS,SGD,2,0,Flower,"2,2",0.4828125
DIABETICS,SGD,2,0,Flower,"3,6",0.6052083333333333
DIABETICS,SGD,2,0,Flower,"1,6",0.5432291666666667
DIABETICS,SGD,2,0,Flower,"1,4",0.6869791666666666
DIABETICS,SGD,2,0,Flower,"2,6",0.5291666666666666
DIABETICS,SGD,2,0,Flower,"2,4",0.5505208333333333
DIABETICS,SGD,2,0,Flower,"3,2",0.4609375
DIABETICS,SGD,2,0,Flower,"0,2",0.5890625
DIABETICS,SGD,2,0,Flower,"0,4",0.428125
DIABETICS,SGD,2,0,Flower,"3,4",0.5234375
DIABETICS,LR,2,8,HiFlow3,"0,6",0.471875
DIABETICS,LR,2,8,HiFlow3,"1,2",0.4692708333333334
DIABETICS,LR,2,7,HiFlow3,"2,2",0.5552083333333333
DIABETICS,LR,2,10,HiFlow3,"3,6",0.4421874999999999
DIABETICS,LR,2,9,HiFlow3,"1,6",0.4213541666666666
DIABETICS,LR,2,9,HiFlow3,"1,4",0.4432291666666667
DIABETICS,LR,2,7,HiFlow3,"2,6",0.5109375
DIABETICS,LR,2,9,HiFlow3,"2,4",0.4270833333333333
DIABETICS,LR,2,10,HiFlow3,"3,2",0.4197916666666666
DIABETICS,LR,2,8,HiFlow3,"0,2",0.4682291666666666
DIABETICS,LR,2,9,HiFlow3,"0,4",0.4666666666666667
DIABETICS,LR,2,10,HiFlow3,"3,4",0.39947916666666666
DIABETICS,LR,2,0,Flower,"0,6",0.4374999999999999
DIABETICS,LR,2,0,Flower,"1,2",0.3734375
DIABETICS,LR,2,0,Flower,"2,2",0.3994791666666667
DIABETICS,LR,2,0,Flower,"3,6",0.39531249999999996
DIABETICS,LR,2,0,Flower,"1,6",0.40625
DIABETICS,LR,2,0,Flower,"1,4",0.4036458333333333
DIABETICS,LR,2,0,Flower,"2,6",0.33177083333333335
DIABETICS,LR,2,0,Flower,"2,4",0.3822916666666667
DIABETICS,LR,2,0,Flower,"3,2",0.37500000000000006
DIABETICS,LR,2,0,Flower,"0,2",0.3453125
DIABETICS,LR,2,0,Flower,"0,4",0.4161458333333333
DIABETICS,LR,2,0,Flower,"3,4",0.37552083333333336
MUSHROOM,SGD,2,0,HiFlow3,"0,6",0.8958179581795818
MUSHROOM,SGD,2,0,HiFlow3,"1,2",0.8768757687576876
MUSHROOM,SGD,2,0,HiFlow3,"2,2",0.8878228782287823
MUSHROOM,SGD,2,0,HiFlow3,"3,6",0.8204182041820418
MUSHROOM,SGD,2,0,HiFlow3,"1,6",0.8774907749077491
MUSHROOM,SGD,2,0,HiFlow3,"1,4",0.8697416974169743
MUSHROOM,SGD,2,0,HiFlow3,"2,6",0.8678966789667897
MUSHROOM,SGD,2,0,HiFlow3,"2,4",0.8723247232472324
MUSHROOM,SGD,2,0,HiFlow3,"3,2",0.8704797047970481
MUSHROOM,SGD,2,0,HiFlow3,"0,2",0.8927429274292743
MUSHROOM,SGD,2,0,HiFlow3,"0,4",0.8960639606396062
MUSHROOM,SGD,2,0,HiFlow3,"3,4",0.8392373923739237
MUSHROOM,SGD,2,0,Flower,"0,6",0.8769987699877
MUSHROOM,SGD,2,0,Flower,"1,2",0.8736777367773678
MUSHROOM,SGD,2,0,Flower,"2,2",0.878228782287823
MUSHROOM,SGD,2,0,Flower,"3,6",0.7841328413284132
MUSHROOM,SGD,2,0,Flower,"1,6",0.8723247232472324
MUSHROOM,SGD,2,0,Flower,"1,4",0.8810578105781058
MUSHROOM,SGD,2,0,Flower,"2,6",0.839729397293973
MUSHROOM,SGD,2,0,Flower,"2,4",0.8765067650676507
MUSHROOM,SGD,2,0,Flower,"3,2",0.8741697416974169
MUSHROOM,SGD,2,0,Flower,"0,2",0.8833948339483395
MUSHROOM,SGD,2,0,Flower,"0,4",0.8865928659286594
MUSHROOM,SGD,2,0,Flower,"3,4",0.8440344403444036
MUSHROOM,LR,2,4,HiFlow3,"0,6",0.816728167281673
MUSHROOM,LR,2,4,HiFlow3,"1,2",0.8194341943419434
MUSHROOM,LR,2,7,HiFlow3,"2,2",0.8138991389913898
MUSHROOM,LR,2,4,HiFlow3,"3,6",0.8214022140221402
MUSHROOM,LR,2,6,HiFlow3,"1,6",0.8180811808118081
